id,artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
268,Ed Sheeran,pop,2015,0,0,1,0,18,1,47,0,84,positive
269,Sam Smith,pop,2015,0,0,1,0,8,1,53,0,84,negative
270,The Weeknd,canadian contemporary r&b,2015,0,0,0,0,14,1,7,1,84,negative
271,Justin Bieber,canadian pop,2015,0,0,0,0,28,1,84,1,83,positive
272,Mark Ronson,dance pop,2015,0,0,1,0,3,1,1,1,82,positive
273,Hozier,irish singer-songwriter,2015,1,0,0,1,12,1,63,1,81,negative
274,Maroon 5,pop,2015,1,1,1,0,9,1,6,0,81,positive
275,Justin Bieber,canadian pop,2015,0,1,0,1,30,0,8,1,81,negative
276,Rihanna,barbadian pop,2015,1,0,0,0,13,0,88,1,80,negative
277,Ellie Goulding,dance pop,2015,1,0,0,0,13,1,25,1,79,negative
278,The Weeknd,canadian contemporary r&b,2015,1,0,1,0,10,1,39,0,79,negative
279,Justin Bieber,canadian pop,2015,1,0,1,0,8,0,59,1,79,positive
280,Shawn Mendes,canadian pop,2015,1,1,1,0,5,0,2,1,78,positive
281,Jason Derulo,dance pop,2015,0,0,1,0,11,0,1,1,77,positive
282,Flo Rida,dance pop,2015,0,0,1,1,13,0,2,1,77,positive
283,Mr. Probz,tropical house,2015,1,0,1,0,8,0,1,0,77,negative
284,One Direction,boy band,2015,1,0,1,0,12,1,86,0,77,negative
285,Calvin Harris,dance pop,2015,1,1,1,1,39,0,4,1,77,negative
286,Zara Larsson,dance pop,2015,1,0,0,0,27,0,0,1,77,negative
287,Ariana Grande,dance pop,2015,0,0,0,1,8,1,1,0,76,negative
288,Maroon 5,pop,2015,1,1,0,0,59,1,0,1,76,negative
289,Calvin Harris,dance pop,2015,1,1,0,1,34,0,3,1,76,negative
290,Fifth Harmony,dance pop,2015,0,1,1,1,12,1,6,1,75,positive
291,Ariana Grande,dance pop,2015,1,0,1,1,20,0,1,1,75,negative
292,Ed Sheeran,pop,2015,0,0,1,0,64,0,1,1,74,positive
293,Sia,australian dance,2015,1,1,0,1,15,1,1,1,73,negative
294,Clean Bandit,dance pop,2015,1,0,1,0,19,1,16,0,73,positive
295,Adele,british soul,2015,1,0,0,0,9,1,34,0,73,negative
296,Meghan Trainor,dance pop,2015,0,1,1,1,32,0,38,1,72,positive
297,Beyoncé,dance pop,2015,1,0,1,1,13,0,1,1,72,positive
298,Selena Gomez,dance pop,2015,0,1,0,1,14,1,5,0,72,positive
299,David Guetta,dance pop,2015,0,0,0,1,33,0,24,1,72,positive
300,Christina Aguilera,dance pop,2015,1,1,0,0,14,0,21,1,72,positive
301,Justin Bieber,canadian pop,2015,0,1,0,1,8,0,13,1,72,negative
302,Ed Sheeran,pop,2015,1,0,1,1,6,1,30,1,71,positive
303,Nick Jonas,dance pop,2015,0,0,1,1,44,1,1,1,70,negative
304,Demi Lovato,dance pop,2015,1,0,1,1,19,0,12,1,70,positive
305,Macklemore & Ryan Lewis,dance pop,2015,0,0,1,1,29,1,9,1,70,positive
306,Paloma Faith,british soul,2015,0,1,0,1,33,1,10,1,69,negative
307,Kelly Clarkson,dance pop,2015,1,1,0,1,6,0,1,1,69,negative
308,Olly Murs,dance pop,2015,0,1,1,1,10,1,2,0,69,positive
309,Jason Derulo,dance pop,2015,0,0,0,1,10,0,56,1,69,positive
310,Naughty Boy,tropical house,2015,1,1,0,0,48,0,1,1,69,negative
311,Selena Gomez,dance pop,2015,0,0,1,1,21,1,2,0,69,negative
312,Zedd,complextro,2015,1,1,0,1,14,1,1,1,68,negative
313,Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,68,positive
314,Justin Bieber,canadian pop,2015,1,0,0,0,18,0,5,1,68,negative
315,Alessia Cara,canadian contemporary r&b,2015,1,1,0,1,8,0,8,1,68,negative
316,OneRepublic,dance pop,2015,1,1,0,1,27,1,7,0,67,negative
317,Pitbull,dance pop,2015,1,1,1,1,5,1,9,1,67,positive
