artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
A Great Big World,neo mellow,2014,1,0,0,0,9,1,87,0,61,negative
Coldplay,permanent wave,2014,1,0,0,0,21,1,1,0,60,negative
Pharrell Williams,dance pop,2014,1,1,1,0,10,0,27,1,59,positive
Sia,australian dance,2014,1,1,0,1,7,0,2,1,56,positive
Beyoncé,dance pop,2014,1,1,0,0,31,0,17,1,56,negative
Pitbull,dance pop,2014,1,1,0,1,10,1,0,1,56,positive
Birdy,neo mellow,2014,0,0,0,0,9,0,97,0,56,negative
Beyoncé,dance pop,2014,1,0,0,0,18,1,1,1,52,negative
Nicki Minaj,dance pop,2014,1,0,1,0,21,1,7,1,50,positive
Charli XCX,candy pop,2014,0,1,1,1,34,0,7,1,50,positive
Shakira,colombian pop,2014,1,1,1,1,35,0,18,0,50,positive
Birdy,neo mellow,2014,0,0,1,0,9,0,84,0,49,positive
Birdy,neo mellow,2014,1,0,0,0,14,1,28,0,44,negative
Mariah Carey,dance pop,2014,1,0,0,0,38,1,28,1,38,positive
Lily Allen,dance pop,2014,1,0,1,0,11,1,15,0,37,negative
Lea Michele,hollywood,2014,0,1,0,1,19,0,2,1,37,positive
Alicia Keys,hip pop,2014,0,0,0,0,25,1,10,1,30,positive
Jennifer Lopez,dance pop,2014,0,0,1,0,12,0,45,1,28,positive
Justin Timberlake,dance pop,2014,0,0,0,0,38,1,27,1,0,negative
Ed Sheeran,pop,2015,0,0,1,0,18,1,47,0,84,positive
Sam Smith,pop,2015,0,0,1,0,8,1,53,0,84,negative
The Weeknd,canadian contemporary r&b,2015,0,0,0,0,14,1,7,1,84,negative
Justin Bieber,canadian pop,2015,0,0,0,0,28,1,84,1,83,positive
Mark Ronson,dance pop,2015,0,0,1,0,3,1,1,1,82,positive
Hozier,irish singer-songwriter,2015,1,0,0,1,12,1,63,1,81,negative
Maroon 5,pop,2015,1,1,1,0,9,1,6,0,81,positive
Justin Bieber,canadian pop,2015,0,1,0,1,30,0,8,1,81,negative
Rihanna,barbadian pop,2015,1,0,0,0,13,0,88,1,80,negative
Ellie Goulding,dance pop,2015,1,0,0,0,13,1,25,1,79,negative
The Weeknd,canadian contemporary r&b,2015,1,0,1,0,10,1,39,0,79,negative
Justin Bieber,canadian pop,2015,1,0,1,0,8,0,59,1,79,positive
Shawn Mendes,canadian pop,2015,1,1,1,0,5,0,2,1,78,positive
Jason Derulo,dance pop,2015,0,0,1,0,11,0,1,1,77,positive
Flo Rida,dance pop,2015,0,0,1,1,13,0,2,1,77,positive
Mr. Probz,tropical house,2015,1,0,1,0,8,0,1,0,77,negative
One Direction,boy band,2015,1,0,1,0,12,1,86,0,77,negative
Calvin Harris,dance pop,2015,1,1,1,1,39,0,4,1,77,negative
Zara Larsson,dance pop,2015,1,0,0,0,27,0,0,1,77,negative
Ariana Grande,dance pop,2015,0,0,0,1,8,1,1,0,76,negative
Maroon 5,pop,2015,1,1,0,0,59,1,0,1,76,negative
Calvin Harris,dance pop,2015,1,1,0,1,34,0,3,1,76,negative
Fifth Harmony,dance pop,2015,0,1,1,1,12,1,6,1,75,positive
Ariana Grande,dance pop,2015,1,0,1,1,20,0,1,1,75,negative
Ed Sheeran,pop,2015,0,0,1,0,64,0,1,1,74,positive
Sia,australian dance,2015,1,1,0,1,15,1,1,1,73,negative
Clean Bandit,dance pop,2015,1,0,1,0,19,1,16,0,73,positive
Adele,british soul,2015,1,0,0,0,9,1,34,0,73,negative
Meghan Trainor,dance pop,2015,0,1,1,1,32,0,38,1,72,positive
Beyoncé,dance pop,2015,1,0,1,1,13,0,1,1,72,positive
Selena Gomez,dance pop,2015,0,1,0,1,14,1,5,0,72,positive
David Guetta,dance pop,2015,0,0,0,1,33,0,24,1,72,positive
Christina Aguilera,dance pop,2015,1,1,0,0,14,0,21,1,72,positive
Justin Bieber,canadian pop,2015,0,1,0,1,8,0,13,1,72,negative
Ed Sheeran,pop,2015,1,0,1,1,6,1,30,1,71,positive
Nick Jonas,dance pop,2015,0,0,1,1,44,1,1,1,70,negative
Demi Lovato,dance pop,2015,1,0,1,1,19,0,12,1,70,positive
Macklemore & Ryan Lewis,dance pop,2015,0,0,1,1,29,1,9,1,70,positive
Paloma Faith,british soul,2015,0,1,0,1,33,1,10,1,69,negative
Kelly Clarkson,dance pop,2015,1,1,0,1,6,0,1,1,69,negative
Olly Murs,dance pop,2015,0,1,1,1,10,1,2,0,69,positive
Jason Derulo,dance pop,2015,0,0,0,1,10,0,56,1,69,positive
Naughty Boy,tropical house,2015,1,1,0,0,48,0,1,1,69,negative
Selena Gomez,dance pop,2015,0,0,1,1,21,1,2,0,69,negative
Zedd,complextro,2015,1,1,0,1,14,1,1,1,68,negative
Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,68,positive
Justin Bieber,canadian pop,2015,1,0,0,0,18,0,5,1,68,negative
Alessia Cara,canadian contemporary r&b,2015,1,1,0,1,8,0,8,1,68,negative
OneRepublic,dance pop,2015,1,1,0,1,27,1,7,0,67,negative
Pitbull,dance pop,2015,1,1,1,1,5,1,9,1,67,positive
Sigala,dance pop,2015,1,1,1,1,12,1,18,1,67,positive
Justin Bieber,canadian pop,2015,1,1,0,0,10,1,8,1,67,negative
Carly Rae Jepsen,canadian pop,2015,1,1,0,1,22,0,1,0,66,positive
